station,valid,tmpf,dwpf,relh,sknt,ceiling
PAFA,5/29/2024 11:53,45,40,82.51,5,101000
PAFA,11/20/2023 8:53,13,7,76.48,0,30200
PAFA,12/24/2023 13:53,15,10,80.19,6,25000
PAFA,7/25/2023 8:53,70,59,68.09,0,25000
PAFA,7/25/2023 6:53,74,61,63.85,0,25000
PAFA,2/22/2025 13:53,-2,-7,78.67,3,25000
PAFA,6/28/2023 12:53,57,51,80.6,0,25000
PAFA,6/28/2023 11:53,57,48,71.81,0,25000
PAFA,7/25/2023 1:53,87,59,38.88,9,25000
PAFA,6/18/2024 1:53,80,47,31.37,8,25000
PAFA,6/18/2024 0:53,81,41,24.14,5,25000
PAFA,6/18/2024 5:53,73,50,44.29,4,25000
PAFA,7/25/2023 5:53,78,58,50.22,3,25000
PAFA,1/12/2025 16:53,41,26,54.84,12,24000
PAFA,10/5/2023 16:53,23,15,70.99,6,24000
PAFA,10/5/2023 17:53,26,18,71.33,5,24000
PAFA,6/1/2024 11:53,51,38,60.92,5,24000
PAFA,1/12/2025 10:53,19,15,84.12,4,24000
PAFA,8/5/2024 4:53,75,58,55.48,4,24000
PAFA,3/5/2025 10:53,16,11,80.27,3,24000
PAFA,6/1/2024 10:53,54,38,54.56,3,24000
PAFA,1/12/2025 9:53,18,13,80.44,0,24000
PAFA,3/2/2025 3:53,15,9,76.68,0,24000
PAFA,8/5/2024 5:53,67,58,72.82,0,24000
PAFA,3/2/2025 2:53,18,9,67.33,0,24000
PAFA,6/1/2024 14:53,53,42,66.12,0,24000
PAFA,3/25/2024 4:53,36,22,56.42,4,24000
PAFA,8/25/2024 4:53,52,40,63.48,4,24000
PAFA,12/24/2023 0:53,6,1,79.41,3,24000
PAFA,3/25/2024 3:53,41,24,50.46,3,24000
PAFA,8/25/2024 3:53,54,41,61.32,0,24000
PAFA,7/10/2023 0:53,76,46,34.58,5,24000
PAFA,1/12/2025 15:53,39,27,61.78,9,24000
PAFA,9/11/2023 0:53,61,41,47.66,0,24000
PAFA,10/1/2023 4:53,36,28,72.43,3,24000
PAFA,10/1/2023 5:53,35,28,75.36,0,24000
PAFA,10/1/2023 3:53,38,28,66.94,0,24000
PAFA,6/1/2024 12:53,49,39,68.25,7,24000
PAFA,6/1/2024 13:53,50,40,68.37,4,24000
PAFA,7/23/2023 0:53,84,50,30.82,0,24000
PAFA,10/13/2023 18:42,27,22,81.17,0,24000
PAFA,10/13/2023 18:53,29,22,74.77,0,24000
PAFA,10/13/2023 17:53,25,21,84.53,3,24000
PAFA,10/4/2024 20:53,53,25,33.46,11,23000
PAFA,2/19/2024 22:53,23,14,67.96,6,23000
